"carat","cut","color","clarity","depth","table","price","x","y","z"
0.99,"Good","F","SI2",63.3,54,4052,6.36,6.43,4.05
0.33,"Ideal","E","VS2",60.5,56,928,4.51,4.48,2.72
0.31,"Good","E","SI1",63.1,57,544,4.28,4.31,2.71
0.72,"Premium","F","SI1",61.7,59,2492,5.74,5.7,3.53
0.55,"Ideal","G","VS2",60.1,55,1634,5.33,5.37,3.22
0.34,"Ideal","G","VS2",61.5,57,765,4.51,4.47,2.76
1.39,"Very Good","E","VS1",60.9,61,12614,7.15,7.19,4.37
0.5,"Good","E","VS2",64.9,59,1389,4.89,4.94,3.19
0.32,"Premium","G","VS2",62.3,60,561,4.37,4.4,2.73
1,"Fair","I","I1",66.9,57,1997,6.15,6.03,4.09
0.32,"Premium","G","VS1",61,59,828,4.43,4.39,2.69
1.04,"Ideal","H","VS1",62.7,55,5577,6.43,6.49,4.05
2.01,"Premium","J","VS2",61.8,61,12541,8.06,7.97,4.95
0.71,"Premium","E","SI1",61.8,56,2516,5.77,5.72,3.55
1,"Very Good","F","VS1",62.1,60,6883,6.33,6.42,3.96
0.33,"Ideal","F","VVS2",60.9,56,974,4.47,4.5,2.73
0.6,"Ideal","G","VS1",61.1,57,2147,5.41,5.45,3.32
0.61,"Ideal","D","SI1",62,55,1927,5.44,5.47,3.38
1,"Very Good","F","VS2",63.4,58,6818,6.3,6.39,4.02
0.41,"Ideal","E","VVS2",61.4,53.9,1186,4.79,4.81,2.95
0.71,"Good","E","SI1",62.8,64,2817,5.6,5.54,3.5
1.26,"Premium","H","SI1",62.1,57,6435,6.94,6.88,4.29
1.51,"Premium","H","SI1",62,58,9511,7.38,7.34,4.56
0.72,"Very Good","H","VS1",62.2,54,2877,5.74,5.76,3.57
0.29,"Ideal","H","VVS1",62.1,55,607,4.28,4.3,2.66
0.71,"Very Good","H","SI1",62.5,63,1986,5.66,5.63,3.53
0.28,"Ideal","E","VVS2",62.1,56,828,4.21,4.19,2.61
0.36,"Ideal","E","VS2",62.1,55,789,4.54,4.58,2.83
0.54,"Ideal","D","VS2",61.2,56,1725,5.24,5.28,3.22
0.5,"Good","E","SI1",63.2,57,1316,5.03,5.06,3.19
0.31,"Very Good","F","VS1",61,57.5,679,4.37,4.39,2.67
1.23,"Ideal","I","VS2",62.4,58,6817,6.82,6.86,4.27
1.2,"Good","H","SI2",64.1,57,4704,6.68,6.65,4.27
1.05,"Ideal","E","VVS2",62.4,56,8982,6.49,6.52,4.06
1.07,"Very Good","E","VS2",62.5,57,6120,6.53,6.6,4.1
0.3,"Good","G","VS1",63.1,59,605,4.25,4.27,2.69
2.28,"Good","J","SI1",63.7,55,14220,8.28,8.35,5.3
0.72,"Premium","G","SI2",60.6,61,1588,5.83,5.75,3.51
2.03,"Ideal","J","VS2",60.5,57,14083,8.26,8.2,4.98
0.23,"Very Good","F","VS1",63.2,58,483,3.89,3.86,2.45
0.42,"Ideal","D","VVS2",62.1,55,1389,4.81,4.78,2.98
0.96,"Fair","G","I1",64.5,60,2068,6.16,6.11,3.96
0.53,"Ideal","F","VVS1",62.1,53.2,2273,5.17,5.21,3.22
1.5,"Premium","G","SI2",60.7,58,8316,7.39,7.33,4.47
0.7,"Very Good","D","SI1",64,53,2242,5.57,5.61,3.58
0.74,"Good","E","VS1",63.4,55,3416,5.76,5.78,3.66
0.36,"Very Good","H","SI1",59.3,60,518,4.62,4.65,2.75
0.8,"Ideal","F","VS1",61.2,56,3860,5.98,6.01,3.67
1.72,"Very Good","D","SI2",63.4,62,12360,7.59,7.53,4.79
1.38,"Ideal","J","SI1",61.8,56,6260,7.17,7.14,4.42
0.57,"Ideal","D","VS2",61.8,56,1998,5.31,5.34,3.29
0.3,"Ideal","F","IF",61.8,55,873,4.31,4.33,2.67
0.31,"Ideal","D","SI1",62.4,53,571,4.33,4.35,2.71
0.34,"Ideal","D","IF",62.1,57,2346,4.52,4.46,2.79
